"ISIN 
","DESCRIPTOR 
","WEIGHTED AVERAGE PRICE 
","LAST TRADE PRICE 
","WEIGHTED  AVERAGE YIELD 
(YTM) (%)","LAST  TRADE YIELD  
(Annualized) (%)","VALUE 
 (₹ Crores)","NO. OF TRADES 
"
"INE530B08235","IIFL FINANCE LIMITED SR 35 OP A-II 9.30 NCD 30DC35 FVRS1LAC","100.0000","100.0000","9.2794","9.2794","3.00","1"
"INE0P1407026","VIVRITI CAPITAL LIMITED SR A 9.70 NCD 29OT27 FVRS10000","99.9340","99.9340","10.1643","10.2100","3.00","1"
"INE906B07EF6","NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIB 7.28 BD 18SP30 FVRS10LAC","107.2436","107.2436","5.2300","5.2300","2.50","1"
"INE018E08342","SBI CARDS AND PAYMENT SERVICES LIMITED SR 34 8.33 NCD 24JN34 FVRS1CR","101.9800","101.9800","7.9500","7.9500","2.00","1"
"INE0JZO07024","LUCINA LAND DEVELOPMENT LIMITED 13.50 NCD 30JN29 FVRS1LAC","100.5000","100.5000","13.9061","13.9061","1.59","1"
"INE0M2307339","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV E 9.15 BD 29NV30 FVRS1LAC","103.2537","103.2537","8.4000","8.4000","1.50","1"
"INE0NES07121","KEERTANA FINSERV LIMITED 11.40 NCD 28JN27 FVRS1LAC","99.8500","99.8500","12.6731","12.6731","1.50","2"
"INE062A08462","STATE BANK OF INDIA SR 1 AT1 7.98 BD PP FVRS1CR","101.4622","101.4622","7.7200","7.7200","1.00","1"
"INE07PX08019","SBM BANK (INDIA) LIMITED SR I 9.75 BD 05AP32 FVRS1CR","100.1000","100.1000","9.2941","9.3587","1.00","1"
"INE741K07629","CREDITACCESS GRAMEEN LIMITED SR I 9.15 NCD 02SP28 FVRS1LAC","100.0000","100.0000","9.1294","9.1294","1.00","1"
"INE148I07UX9","SAMMAAN CAPITAL LIMITED 9.75 NCD 20OT29 FVRS1LAC","100.9728","100.9728","9.3500","9.3500","1.00","1"
"INE07HK07841","KRAZYBEE SERVICES LIMITED 10.45 NCD 16MR27 FVRS1LAC","100.0426","100.0426","10.7272","10.7500","0.81","1"
"INE0M2307388","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV F 9.15 BD 28NV31 FVRS1LAC","103.9516","103.9516","8.3782","8.4000","0.80","1"
"INE530B07617","IIFL FINANCE LIMITED SR IV TR I 8.7 NCD 06MR28 FVRS1000","99.3493","99.3493","9.1015","9.1000","0.74","1"
"INE157D07EJ4","CLIX CAPITAL SERVICES PRIVATE LIMITED 10.20 NCD 18MR27 FVRS1LAC","100.1438","100.1438","9.9000","9.9000","0.69","1"
"INE516Y07444","PIRAMAL FINANCE LIMITED 6.75 LOA 26SP31 FVRS775","94.9564","94.9564","9.1388","9.1500","0.68","1"
"INE523L07AM2","NUVAMA WEALTH AND INVESTMENT LIMITED SR NWIL072501 9.20 NCD 20DC27 FVRS1LAC","100.2667","100.2667","9.0000","9.0000","0.61","1"
"INE859C07204","IKF FINANCE LIMITED 9.9 NCD 15MR27 FVRS1LAC","100.3983","100.3983","9.2000","9.2000","0.59","1"
"INE192U07368","KOGTA FINANCIAL (INDIA) LIMITED 9.65 NCD 10MR28 FVRS1LAC","99.3529","99.3529","10.0500","10.0500","0.55","1"
"INE148I07TY9","SAMMAAN CAPITAL LIMITED 9.75 NCD 12AP28 FVRS1LAC","100.4100","100.4100","9.4868","9.4868","0.46","1"
"INE522D08030","MANAPPURAM FINANCE LIMITED SR A 9.05 NCD 17AG32 FVRS1LAC","100.1000","100.2000","9.0268","8.9914","0.40","2"
"INE413U08093","IIFL SAMASTA FINANCE LIMITED 11 LOA 18MY30 FVRS1LAC","100.0000","100.0000","11.3125","10.9485","0.34","2"
"INE658F08458","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR VI STRPPS C 9.67 BD 08AG31 FVRS1LAC","104.3528","104.3528","8.7700","8.7700","0.33","1"
"INE1C3207065","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 D 9.35 NCD 31DC30 FVRS1LAC","104.2905","104.2690","8.3033","8.3100","0.30","2"
"INE148I07XG8","SAMMAAN CAPITAL LIMITED SR II CAT III","99.2600","99.2600","9.9460","9.9460","0.30","1"
"INE1C3207081","TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION LIMITED SR I 2024-25 B 9.35 NCD 29DC28 FVRS1LAC","102.2757","102.2757","8.3000","8.3000","0.30","1"
"INE296G07325","MUTHOOT CAPITAL SERVICES LIMITED 9.25 NCD 30JU28 FVRS1LAC","99.4884","99.4884","9.6871","9.9000","0.22","2"
"INE01HV07601","VIVRITI CAPITAL LIMITED 10.10 NCD 19AG27 FVRS1LAC","100.1087","100.1087","10.3500","10.3500","0.21","1"
"INE00DJ07052","TAPIR CONSTRUCTIONS LIMITED SR I TR I 12.50 NCD 12MR30 FVRS1LAC","100.2800","100.2800","12.8180","13.1213","0.21","1"
"INE115A07QH6","LIC HOUSING FINANCE LTD TR 432 8.025 LOA 23MR33 FVRS10LAC","102.1441","101.9682","7.6427","7.6100","0.20","2"
"INE04VS07370","OXYZO FINANCIAL SERVICES LIMITED 9.75 NCD 19MR27 FVRS1LAC","99.7483","99.7483","9.8000","9.8000","0.20","1"
"INE033L07IP8","TATA CAPITAL HOUSING FINANCE LIMITED SR C 7.17 NCD 21MY30 FVRS1LAC","98.3200","98.3200","7.7455","7.6855","0.20","1"
"INE583D07620","UGRO CAPITAL LIMITED 9.50 NCD 27FB27 FVRS10000","100.3157","100.3157","9.5468","9.1700","0.20","1"
"INE932X07056","SHARE INDIA SECURITIES LIMITED SR D 10.5 NCD 10AG28 FVRS10000","99.7758","99.7500","10.7976","11.2705","0.18","2"
"INE583D08115","UGRO CAPITAL LIMITED SR I 11.65 NCD 06MY31 FVRS1LAC","97.4238","97.4242","13.0900","13.0997","0.18","3"
"INE605Y07205","AUXILO FINSERVE PRIVATE LIMITED SR I 9.70 NCD 13JU28 FVRS1LAC","98.8903","98.8903","10.3500","10.3500","0.17","1"
"INE03K307199","SATIN FINSERV LIMITED 10.35 NCD 11AG28 FVRS10000","97.4912","97.4912","11.9872","12.3400","0.15","1"
"INE0B2O07011","PRISMA GLOBAL LIMITED 10 NCD 18AG28 FVRS10000","99.2746","99.2746","10.8786","10.9200","0.15","1"
"INE101Q07CB5","MUTHOOT MCRED LIMITED 9.3 NCD 07AG29 FVRS10000","97.2237","97.2237","10.7615","10.9100","0.15","1"
"INE348L07316","MAS FINANCIAL SERVICES LIMITED SR B 9.25 NCD 16MY27 FVRS1LAC","100.4699","100.4699","8.8000","8.8000","0.14","1"
"INE321N07525","INCRED FINANCIAL SERVICES LIMITED 9.60 NCD 16AG27 FVRS1LAC","100.3667","100.3667","9.5000","9.5000","0.13","1"
"INE101Q07CA7","MUTHOOT MCRED LIMITED 9.30 NCD 20NV28 FVRS10000","97.8461","97.8461","10.8382","10.9000","0.13","1"
"INE859C07295","IKF FINANCE LIMITED 9 NCD 05OT28 FVRS1LAC","99.3169","99.3169","9.7500","9.7500","0.12","1"
"INE658F08300","KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR IV STRPPS C 9.42 BD 30DC30 FVRS1LAC","103.0970","103.0970","8.7500","8.7500","0.10","1"
"INE157D07EM8","CLIX CAPITAL SERVICES PRIVATE LIMITED 9.90 NCD 26MY27 FVRS1LAC","100.0109","100.0109","10.2500","10.2500","0.10","1"
"INE321N07483","INCRED FINANCIAL SERVICES LIMITED 9.50 NCD 11DC26 FVRS1LAC","100.3100","100.3100","8.5000","8.5000","0.10","1"
"INE918K07QS9","NUVAMA WEALTH FINANCE LIMITED SR W8R601A 9.22 NCD 20NV28 FVRS1LAC","99.8349","99.8349","9.3000","9.3000","0.10","1"
"INE146O08266","HINDUJA LEYLAND FINANCE LIMITED SR B 9.50 NCD 29NV29 FVRS1LAC","100.2369","100.2369","9.4002","9.4002","0.10","1"
"INE918K07QV3","NUVAMA WEALTH FINANCE LIMITED SR 04 BR NCD 04JN30 FVRS1LAC","102.0006","102.0006","10.5545","11.6000","0.10","1"
"INE07HK07882","KRAZYBEE SERVICES LIMITED 9.9 NCD 25AG28 FVRS1LAC","100.1474","100.1474","10.3281","10.2500","0.10","1"
"INE540P07509","U.P. POWER CORPORATION LIMITED SR II G 9.95 BD 31MR31 FVRS10LAC","105.1099","105.1099","8.7500","8.7500","0.10","1"
"INE0M2307370","ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR IV C 9.15 BD 30NV28 FVRS1LAC","102.4600","102.4600","8.1692","7.9219","0.10","1"
"INE939X07200","MANBA FINANCE LIMITED SR A 11.30 NCD 05JU27 FVRS10000","100.8469","100.8469","10.5000","10.5000","0.10","1"
"INE04UP07188","BEST CAPITAL SERVICES LIMITED SR A 12 NCD 30SP27 FVRS10000","98.5139","98.5139","13.0981","15.3100","0.10","1"
"INE02KN08012","GODREJ FINANCE LIMITED SR SD1 8.50 NCD 28AP36 FVRS1LAC","101.4700","101.4700","8.3750","8.2500","0.10","1"
"INE549K08533","MUTHOOT FINCORP LIMITED 10.26 NCD 24DC30 FVRS10000","101.4000","101.4000","10.3550","10.3100","0.10","1"
"INE420C07213","PAISALO DIGITAL LIMITED SR III TR I 9.5 NCD 19AG29 FVRS1000","98.5265","98.5265","10.5500","10.5500","0.07","1"
"INE157D07EN6","CLIX CAPITAL SERVICES PRIVATE LIMITED 9.85 NCD 07JL27 FVRS1LAC","99.9357","99.9357","10.3000","10.3000","0.07","1"
"INE0JZO07040","LUCINA LAND DEVELOPMENT LIMITED SR II TR II 13 NCD 30JN29 FVRS1LAC","100.0087","100.0087","13.0224","13.7872","0.06","1"
"INE01YL07409","EARLYSALARY SERVICES PRIVATE LIMITED 10.7 NCD 08JN28 FVRS1LAC","99.7447","99.7447","11.2077","11.5000","0.06","1"
"INE389Z07120","PROFECTUS CAPITAL PRIVATE LIMITED 9.75 NCD 30SP27 FVRS1LAC","99.0963","99.0963","10.9500","10.9500","0.05","1"
"INE916Y07081","AKME FINTRADE (INDIA) LIMITED 11.25 NCD 20AP29 FVRS10000","98.1522","98.1522","12.7830","12.9500","0.05","1"
"INE859C07220","IKF FINANCE LIMITED 9.90 NCD 20JN27 FVRS1LAC","100.2578","100.2578","9.0500","9.0500","0.04","1"
"INE539K07338","CREDILA FINANCIAL SERVICES LIMITED SR B 8.37 NCD 15MR28 FVRS1LAC","99.7848","99.7848","8.4500","8.4500","0.03","1"
"INE342T07726","NAVI FINSERV LIMITED 10.75 NCD 31AG29 FVRS10000","100.3130","100.3130","10.6947","11.1487","0.02","1"
"INE04VS07438","OXYZO FINANCIAL SERVICES LIMITED SR 2 9.60 NCD 14JU27 FVRS1LAC","99.5527","99.5527","10.0000","10.0000","0.02","1"
"INE605Y07213","AUXILO FINSERVE PRIVATE LIMITED SR II 9.70 NCD 18NV28 FVRS1LAC","98.6916","98.6916","10.3500","10.3500","0.02","1"
"INE859C07188","IKF FINANCE LIMITED 10.30 NCD 30JL27 FVRS1LAC","100.9357","100.9357","9.5000","9.5000","0.02","1"
"INE530B07476","IIFL FINANCE LIMITED SR VI TR I 9.75 NCD 21AP28 FVRS1000","100.8117","100.8117","8.9237","9.1000","0.02","1"
"INE342T07700","NAVI FINSERV LIMITED 10.75 NCD 13NV28 FVRS1LAC","1.0000","1.0000","11.1600","11.1600","0.01","1"
